".outcome","covariate","level","n","location_drift","location_se","location_p","scale_drift","scale_se","scale_p"
"height_cm","age",NA,1974,0.145420131389462,0.0708003896102392,0.0415363879564448,0.267670816595346,0.142148067938273,0.254207676443356
"height_cm","sex","female",1046,0.00995556102012127,0.0292293298703309,0.733403408874005,-0.10710124452607,0.0408956128003095,0.00882155469333313
"height_cm","sex","male",928,0.013865375258297,0.0349968970990541,0.691965824881075,0.135565910313824,0.0523842618369674,0.00965593751594472
"height_cm","race_ethnicity","1",291,0.249493170026014,0.0586784045520001,2.11989329518112e-05,0.0607618385124033,0.0965801048308935,0.529261259594113
"height_cm","race_ethnicity","2",180,-0.01734109671414,0.0717324358434832,0.808976256834763,-0.0786472053496924,0.0914515429505281,0.389795803060589
"height_cm","race_ethnicity","3",634,-0.0672323844384915,0.0378857605709786,0.0759625889681042,-0.086915375874434,0.0514452367013136,0.0911286822752356
"height_cm","race_ethnicity","4",458,0.00291582343420629,0.0533840131390578,0.956441374432749,0.302391258512111,0.0859823133098296,0.000436617077831676
"height_cm","race_ethnicity","6",308,-0.00603564101892144,0.0503139677531959,0.904515189531816,-0.222794498259112,0.0623483218479385,0.000352397337380052
"height_cm","race_ethnicity","7",103,-0.0296278443428482,0.0967743159400951,0.759487391146839,-0.0438648318209159,0.106747655176652,0.681130610309223
"weight_kg","age",NA,1974,0.124728468291818,0.0458962128953441,0.0717394040708096,0.129471190168201,0.0697397214465893,0.152841414781697
"weight_kg","sex","female",1045,0.0347462060260689,0.0309121584669836,0.261000127107148,-0.00118645227102155,0.0451806948841571,0.979049831756118
"weight_kg","sex","male",929,0.0737779682142098,0.0342321822374759,0.0311444296946634,0.0929128436803133,0.0539268251006569,0.0848988404606564
"weight_kg","race_ethnicity","1",290,0.0671072463017353,0.0504069018265609,0.183086808407704,-0.261189305237313,0.0662311496459801,8.02667727610075e-05
"weight_kg","race_ethnicity","2",180,-0.127134028965215,0.0624706878253656,0.0418409212274735,-0.285273894789075,0.0725829093334165,8.4833686253424e-05
"weight_kg","race_ethnicity","3",635,0.113841630257752,0.0445587606579239,0.0106228905715961,0.271756234748416,0.0674144063659887,5.55093326992153e-05
"weight_kg","race_ethnicity","4",458,0.0848598377694863,0.053008348241,0.109404197052431,0.291318629406542,0.0884489141088735,0.000989000789481201
"weight_kg","race_ethnicity","6",308,-0.0283571127118026,0.0418570339984471,0.498104344833368,-0.461328406548473,0.0506434399457684,8.28832356904164e-20
"weight_kg","race_ethnicity","7",103,0.0568086539574388,0.119861742421135,0.635534485122034,0.46864462737997,0.165218387750026,0.00456086697024604
"bmi","age",NA,1972,0.108224461409458,0.0458757965764364,0.128264758309273,0.0908237971558582,0.0723344629577824,0.412114371422876
"bmi","sex","female",1045,0.0868598108645059,0.0333594357344109,0.00922085381810488,0.169362065172513,0.0503950389180964,0.000777482480826701
"bmi","sex","male",927,0.00372791747056764,0.0311126239694311,0.904625665387289,-0.10362238976759,0.0469689672882329,0.0273708126679813
"bmi","race_ethnicity","1",290,-0.0206921385268777,0.0521485138884881,0.691520491314798,-0.213645727678391,0.0666686797033567,0.00135255395822156
"bmi","race_ethnicity","2",180,-0.102673427024456,0.0658985417370075,0.119220661923243,-0.212129580634577,0.0854002158586496,0.0129935270462414
"bmi","race_ethnicity","3",634,0.125266090799905,0.0438737594853749,0.00430167341729115,0.234157579788161,0.0664461208897384,0.000425049247043947
"bmi","race_ethnicity","4",457,0.0903048234577906,0.0523469655364491,0.0845057585093891,0.257688350338373,0.0869175270420111,0.00302933390038074
"bmi","race_ethnicity","6",308,-0.0228201074928861,0.0433080930424407,0.598245823445006,-0.423672829341395,0.0522663678761371,5.22998507465899e-16
"bmi","race_ethnicity","7",103,0.0489981175367005,0.11872572605702,0.679826360698125,0.440172214354338,0.177407753362441,0.013096553169186
"waist_cm","age",NA,1887,0.0381078507768843,0.0465323894482923,0.61329646445413,0.101938833626574,0.0712877786005117,0.163619719705025
"waist_cm","sex","female",992,0.00183412902486379,0.0328071078913309,0.955416330377215,0.0666229352689643,0.0444724736067721,0.134114733100514
"waist_cm","sex","male",895,0.0354235226939524,0.0332058928459771,0.286069283213331,-0.0129927742294764,0.0461242273748133,0.778180547621435
"waist_cm","race_ethnicity","1",279,-0.017328020064824,0.0500515323337078,0.729189718643816,-0.303266402591923,0.0548917869511904,3.29852318261297e-08
"waist_cm","race_ethnicity","2",169,-0.168658790837242,0.065144551798167,0.00962570415247052,-0.258593690603996,0.0837610043440384,0.00201997091246481
"waist_cm","race_ethnicity","3",611,0.108720762195531,0.0454248249118495,0.0166920431748195,0.27050318227841,0.0651013449050331,3.25132546569288e-05
"waist_cm","race_ethnicity","4",436,0.0570144153954955,0.0521997302300009,0.274729459817308,0.188543792259809,0.0730081774571995,0.00980866848080026
"waist_cm","race_ethnicity","6",291,-0.0801418425018331,0.0464611353501677,0.0845414992421523,-0.367572526652697,0.054291748362419,1.28497587061222e-11
"waist_cm","race_ethnicity","7",101,-0.0109310157677231,0.119090646126404,0.926866988531324,0.418377686586165,0.149175441206968,0.005037880147528
