".outcome","covariate","level","n","location_drift","location_se","location_p","scale_drift","scale_se","scale_p"
"height_cm","age",NA,1976,0.109701182041215,0.0333191350546815,0.125245397305344,0.0998078282563931,0.0756311887825771,0.509263323074516
"height_cm","sex","female",1056,0.0305312360962516,0.0310584170915498,0.325594569942396,0.0186118185830323,0.0471017708835068,0.692739180925511
"height_cm","sex","male",920,0.0947351509315945,0.0344174689570338,0.00591365437047144,0.0975873825083421,0.0506655828757005,0.0540908948363293
"height_cm","race_ethnicity","1",284,0.201197979718689,0.0590306323817671,0.000653532579075207,0.0266268303506284,0.077901090903546,0.732499115264356
"height_cm","race_ethnicity","2",173,0.0392021651237229,0.082391180474076,0.634213052311761,0.169125548375211,0.121031113316446,0.162301586849355
"height_cm","race_ethnicity","3",796,-0.0159477496424446,0.0366681503799045,0.663619751019554,0.0691741662838768,0.0583054164313474,0.235460172813011
"height_cm","race_ethnicity","4",426,0.159300916850716,0.050105630922508,0.00147630350955134,0.092370838420079,0.0753440582229245,0.220203554617724
"height_cm","race_ethnicity","6",233,-0.0235444795690673,0.0636932021864126,0.711639928828751,-0.0582624883776786,0.0858150631460234,0.497181717314323
"height_cm","race_ethnicity","7",64,0.0905188319495387,0.117061284924017,0.439368408292221,-0.128495642094586,0.183619660018293,0.484056963320892
"weight_kg","age",NA,1977,0.105818706923606,0.0569161646337706,0.0612078596080557,0.243520426686286,0.137645827920523,0.263732426763426
"weight_kg","sex","female",1057,-0.0231901279309448,0.0316503769491663,0.463743414273295,0.0583819392751347,0.0458816618685583,0.203214682227283
"weight_kg","sex","male",920,0.00670075361348879,0.0311832013770245,0.829858195492314,-0.106326807678671,0.046891823210705,0.0233602213051556
"weight_kg","race_ethnicity","1",286,-0.0650608154612999,0.0567113383809597,0.251287546789734,-0.0791569585179912,0.0786899894861649,0.314447181239839
"weight_kg","race_ethnicity","2",174,-0.109628337663159,0.0785298837332851,0.162712117792537,0.0788994489940344,0.115554115493165,0.494738157727457
"weight_kg","race_ethnicity","3",796,-0.0231252865009097,0.0348579253584816,0.507064508712477,-0.0334806276877599,0.0510283769564588,0.511748316501422
"weight_kg","race_ethnicity","4",424,0.0841114724102651,0.0477908728517019,0.0784094520921929,-0.0268069958956295,0.0697738659444928,0.700831529037203
"weight_kg","race_ethnicity","6",233,0.0208350921043676,0.0641740311021423,0.745434269435519,-0.0441188447844992,0.089719054158141,0.62290002790617
"weight_kg","race_ethnicity","7",64,-0.0433540723566167,0.145173316520561,0.76521730108912,0.329622960853371,0.294032488755706,0.262269707716369
"bmi","age",NA,1972,0.0905150588634667,0.0529964124902595,0.336156043091385,0.192286331892747,0.127876793932845,0.338947957748658
"bmi","sex","female",1053,-0.0237369299087652,0.0319279875087005,0.457208001011451,0.0729684402877292,0.0458186099569345,0.111261114179629
"bmi","sex","male",919,-0.043034499964877,0.0309743258030748,0.164723202566449,-0.117410699292059,0.0473079845441626,0.0130707105550155
"bmi","race_ethnicity","1",284,-0.140865201228262,0.057737989296264,0.0146981747712066,-0.0367268546258551,0.0807949475955725,0.649419554065134
"bmi","race_ethnicity","2",173,-0.127165628055698,0.07393056685335,0.0854200182751013,-0.0437235640168822,0.106913280742461,0.682566896789758
"bmi","race_ethnicity","3",795,-0.0256380921944268,0.0345483899662823,0.458031449451913,-0.0516312363143514,0.0492637396768415,0.294612073928361
"bmi","race_ethnicity","4",423,0.0374950904773907,0.0490847338343341,0.444935794394499,0.0181351641478004,0.0753563308948444,0.809819573545535
"bmi","race_ethnicity","6",233,0.019158790908022,0.0646422735733215,0.766938552202615,-0.030192281138014,0.0817688052444386,0.711949139741372
"bmi","race_ethnicity","7",64,-0.0387571893457129,0.150432793737363,0.796686375473039,0.427193721918545,0.332318158902552,0.198618952763352
"waist_cm","age",NA,1892,0.0886205804918113,0.069398330294406,0.51152903067755,0.168277325392267,0.109049323718759,0.191500649295841
"waist_cm","sex","female",1005,-0.0374381480771486,0.0321291172923201,0.24392166395766,0.0378109136270432,0.0439439869540039,0.389549685541923
"waist_cm","sex","male",887,-0.0193402980789326,0.0318305132993992,0.543451171054415,-0.101947075733959,0.0446201385829371,0.0223258946436511
"waist_cm","race_ethnicity","1",269,-0.144456583501887,0.0625908306451081,0.0210018501537914,0.0707877421833897,0.101871390662254,0.487134504970386
"waist_cm","race_ethnicity","2",170,-0.0861226499192066,0.0735761270570209,0.241790012066537,-0.0777104352827544,0.0922778761046384,0.399712355193213
"waist_cm","race_ethnicity","3",768,-0.0224251846054428,0.034614401521456,0.517077402047449,-0.0805108511032716,0.045006645115409,0.0736364204912858
"waist_cm","race_ethnicity","4",406,0.0322659241321113,0.0472989758117714,0.495131705260113,-0.0928956994386716,0.0628186163648747,0.139195777991795
"waist_cm","race_ethnicity","6",218,0.0333362282596563,0.0707864131054029,0.637682827033207,0.0884367369459189,0.0923141352761754,0.338063876429043
"waist_cm","race_ethnicity","7",61,-0.0725448024022489,0.150308912043592,0.629352746801298,0.360828890739279,0.269236380589859,0.180182391753113
