".outcome","tail_level","expected","observed","n","se"
"bmi",0.005,0.005,0.00659229208924949,1972,0.00158833858878283
"bmi",0.01,0.01,0.0121703853955375,1972,0.00224059902161436
"bmi",0.025,0.025,0.0238336713995943,1972,0.00351575705465307
"bmi",0.05,0.05,0.0446247464503043,1972,0.00490787337808696
"height_cm",0.005,0.005,0.00759109311740891,1976,0.00158673014422973
"height_cm",0.01,0.01,0.0116396761133603,1976,0.00223833005999783
"height_cm",0.025,0.025,0.0298582995951417,1976,0.00351219679343135
"height_cm",0.05,0.05,0.055668016194332,1976,0.0049029033784546
"waist_cm",0.005,0.005,0.00317124735729387,1892,0.00162157102848529
"waist_cm",0.01,0.01,0.00634249471458774,1892,0.00228747855498907
"waist_cm",0.025,0.025,0.0227272727272727,1892,0.00358931642363923
"waist_cm",0.05,0.05,0.0480972515856237,1892,0.00501055967385312
"weight_kg",0.005,0.005,0.00758725341426404,1977,0.00158632879601432
"weight_kg",0.01,0.01,0.0101163378856854,1977,0.00223776389581525
"weight_kg",0.025,0.025,0.0278199291856348,1977,0.00351130841684109
"weight_kg",0.05,0.05,0.0480526049570056,1977,0.00490166323593357
