".outcome","tail_level","expected","observed","n","se"
"bmi",0.005,0.005,0.00709939148073022,1972,0.00158833858878283
"bmi",0.01,0.01,0.0141987829614604,1972,0.00224059902161436
"bmi",0.025,0.025,0.0314401622718053,1972,0.00351575705465307
"bmi",0.05,0.05,0.0578093306288032,1972,0.00490787337808696
"height_cm",0.005,0.005,0.00810536980749747,1974,0.00158753375539506
"height_cm",0.01,0.01,0.011144883485309,1974,0.00223946367873852
"height_cm",0.025,0.025,0.0258358662613982,1974,0.00351397557135923
"height_cm",0.05,0.05,0.0516717325227964,1974,0.00490538648997284
"waist_cm",0.005,0.005,0.00264970853206147,1887,0.00162371795254015
"waist_cm",0.01,0.01,0.00794912559618442,1887,0.00229050712583081
"waist_cm",0.025,0.025,0.0264970853206147,1887,0.00359406859892792
"waist_cm",0.05,0.05,0.0487546369899311,1887,0.00501719354366403
"weight_kg",0.005,0.005,0.00810536980749747,1974,0.00158753375539506
"weight_kg",0.01,0.01,0.0146909827760892,1974,0.00223946367873852
"weight_kg",0.025,0.025,0.0309017223910841,1974,0.00351397557135923
"weight_kg",0.05,0.05,0.0501519756838906,1974,0.00490538648997284
