"site","adaptation_n","validation_n","location_prior_n","scale_prior_n","mean_log_score"
"site-1",25,25,0,0,-1.11224295422069
"site-1",25,25,2,0,-1.11052116938406
"site-1",25,25,5,0,-1.11928742150697
"site-1",25,25,10,0,-1.14725375342041
"site-1",25,25,0,5,-1.11413915968443
"site-1",25,25,2,5,-1.11256931978679
"site-1",25,25,5,5,-1.12125613430951
"site-1",25,25,10,5,-1.14868363830347
"site-1",25,25,0,10,-1.11604670509976
"site-1",25,25,2,10,-1.11455140383637
"site-1",25,25,5,10,-1.12306379125433
"site-1",25,25,10,10,-1.14989690151744
"site-1",25,25,0,25,-1.1205533062588
"site-1",25,25,2,25,-1.11912080330903
"site-1",25,25,5,25,-1.12708963610009
"site-1",25,25,10,25,-1.15244917441101
"site-2",25,25,0,0,-1.05123181620926
"site-2",25,25,2,0,-1.04228571022769
"site-2",25,25,5,0,-1.03495350141427
"site-2",25,25,10,0,-1.03195841370643
"site-2",25,25,0,5,-1.05603721201982
"site-2",25,25,2,5,-1.04734677665605
"site-2",25,25,5,5,-1.04012249164864
"site-2",25,25,10,5,-1.03687890135489
"site-2",25,25,0,10,-1.05974549362519
"site-2",25,25,2,10,-1.05122923843251
"site-2",25,25,5,10,-1.04405642676949
"site-2",25,25,10,10,-1.04058317518795
"site-2",25,25,0,25,-1.06687776001413
"site-2",25,25,2,25,-1.0586529517098
"site-2",25,25,5,25,-1.05152216750935
"site-2",25,25,10,25,-1.04754339207768
"site-3",25,25,0,0,-1.19976154136068
"site-3",25,25,2,0,-1.19746027732537
"site-3",25,25,5,0,-1.19611929427046
"site-3",25,25,10,0,-1.1969075891171
"site-3",25,25,0,5,-1.191422009318
"site-3",25,25,2,5,-1.18896248123904
"site-3",25,25,5,5,-1.1873845903347
"site-3",25,25,10,5,-1.18780321933221
"site-3",25,25,0,10,-1.18610185192318
"site-3",25,25,2,10,-1.18353076045029
"site-3",25,25,5,10,-1.181794899683
"site-3",25,25,10,10,-1.18197931917333
"site-3",25,25,0,25,-1.17761984260458
"site-3",25,25,2,25,-1.17484524218543
"site-3",25,25,5,25,-1.17283902248565
"site-3",25,25,10,25,-1.17264859821502
"site-4",25,25,0,0,-1.45721478534229
"site-4",25,25,2,0,-1.47401523602212
"site-4",25,25,5,0,-1.49771866719338
"site-4",25,25,10,0,-1.53208280692111
"site-4",25,25,0,5,-1.43185958032867
"site-4",25,25,2,5,-1.45127609239782
"site-4",25,25,5,5,-1.47829848653587
"site-4",25,25,10,5,-1.51701445700454
"site-4",25,25,0,10,-1.41956691921589
"site-4",25,25,2,10,-1.44097382613039
"site-4",25,25,5,10,-1.47057287005131
"site-4",25,25,10,10,-1.51275216065613
"site-4",25,25,0,25,-1.40810272778712
"site-4",25,25,2,25,-1.43360788161021
"site-4",25,25,5,25,-1.46861087780714
"site-4",25,25,10,25,-1.51822127038149
