"location_prior_n","scale_prior_n","mean_log_score","validated_sites","selected"
0,25,-1.19328840916616,4,TRUE
0,10,-1.195365242466,4,FALSE
2,25,-1.19655671970362,4,FALSE
2,10,-1.19757130721239,4,FALSE
0,5,-1.19836449033773,4,FALSE
2,5,-1.20003866751993,4,FALSE
5,10,-1.20487199693953,4,FALSE
5,25,-1.20501542597556,4,FALSE
0,0,-1.20511277428323,4,FALSE
2,0,-1.20607059823981,4,FALSE
5,5,-1.20676542570718,4,FALSE
5,0,-1.21201972109627,4,FALSE
10,10,-1.22130288913371,4,FALSE
10,5,-1.22259505399878,4,FALSE
10,25,-1.2227156087713,4,FALSE
10,0,-1.22705064079126,4,FALSE
