stage,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
base,slope_mu[mu_covariates_0],0.68999999999999995,0.80100000000000005,-0.89200000000000002,2.1349999999999998,0.019,0.012999999999999999,1773,2253,1
base,slope_mu[mu_covariates_1],-0.64700000000000002,1.736,-3.96,2.5529999999999999,0.040000000000000001,0.028000000000000001,1880,2549,1
base,slope_mu[mu_covariates_2],0.30299999999999999,1.506,-2.4260000000000002,3.2429999999999999,0.034000000000000002,0.024,1920,2506,1
base,slope_mu[mu_covariates_3],0.16400000000000001,1.1080000000000001,-1.9590000000000001,2.1840000000000002,0.025999999999999999,0.017999999999999999,1868,2563,1
base,slope_mu[mu_covariates_4],0.11899999999999999,0.78900000000000003,-1.4099999999999999,1.534,0.017000000000000001,0.010999999999999999,2078,2843,1
base,slope_mu[mu_covariates_5],-0.44,1.0589999999999999,-2.3839999999999999,1.573,0.023,0.014999999999999999,2079,3147,1
base,slope_mu[mu_covariates_6],0.29399999999999998,1.462,-2.2879999999999998,3.069,0.033000000000000002,0.023,1925,2283,1
base,slope_mu[mu_covariates_7],-0.109,1.657,-3.3500000000000001,2.8570000000000002,0.036999999999999998,0.024,2028,2344,1
base,mu_intercept_mu,-0.029999999999999999,0.73499999999999999,-1.3859999999999999,1.3720000000000001,0.017000000000000001,0.010999999999999999,1881,2429,1
base,site_sigma_intercept_mu_log__,-0.55600000000000005,0.50700000000000001,-1.4239999999999999,0.44800000000000001,0.01,0.0089999999999999993,2335,2856,1
base,normalized_site_offset_intercept_mu_zerosum__[0],-1.2170000000000001,0.55400000000000005,-2.2349999999999999,-0.26400000000000001,0.010999999999999999,0.0089999999999999993,2517,3068,1
base,normalized_site_offset_intercept_mu_zerosum__[1],-0.65200000000000002,0.33900000000000002,-1.3140000000000001,-0.129,0.0070000000000000001,0.0070000000000000001,2873,2920,1
base,normalized_site_offset_intercept_mu_zerosum__[2],-0.012,0.188,-0.39100000000000001,0.34200000000000003,0.002,0.0040000000000000001,6596,3818,1
base,slope_sigma[sigma_covariates_0],0.20699999999999999,0.57899999999999996,-0.83899999999999997,1.2949999999999999,0.0089999999999999993,0.0070000000000000001,4530,4054,1
base,slope_sigma[sigma_covariates_1],-1.038,1.544,-3.734,2.0790000000000002,0.02,0.016,6218,5033,1
base,slope_sigma[sigma_covariates_2],-0.70699999999999996,1.4550000000000001,-3.4249999999999998,2.0649999999999999,0.021000000000000001,0.017999999999999999,4783,4614,1
base,slope_sigma[sigma_covariates_3],-0.95199999999999996,1.0649999999999999,-2.9390000000000001,1.0149999999999999,0.014999999999999999,0.012999999999999999,5078,4464,1
base,slope_sigma[sigma_covariates_4],-0.77000000000000002,0.86599999999999999,-2.3570000000000002,0.85099999999999998,0.012,0.0089999999999999993,5159,4805,1
base,slope_sigma[sigma_covariates_5],0.69599999999999995,1.0549999999999999,-1.1140000000000001,2.8119999999999998,0.014,0.012,5446,4819,1
base,slope_sigma[sigma_covariates_6],-1.8,1.407,-4.4029999999999996,0.84899999999999998,0.02,0.017000000000000001,5174,4684,1
base,slope_sigma[sigma_covariates_7],-0.92000000000000004,1.49,-3.694,1.8500000000000001,0.019,0.016,6242,4544,1
base,intercept_sigma,-1.363,0.61099999999999999,-2.4630000000000001,-0.19500000000000001,0.01,0.0080000000000000002,4091,4042,1
base,site_sigma_intercept_mu,0.66200000000000003,0.44,0.17799999999999999,1.3480000000000001,0.0089999999999999993,0.034000000000000002,2335,2856,1
base,normalized_site_offset_intercept_mu[site-1],-0.90400000000000003,0.41899999999999998,-1.673,-0.193,0.0080000000000000002,0.0070000000000000001,2607,3194,1
base,normalized_site_offset_intercept_mu[site-2],-0.33800000000000002,0.219,-0.76800000000000002,-0.01,0.0040000000000000001,0.0050000000000000001,3941,3203,1
