stage,chain,draw,diverging
base,0,0,False
base,0,1,False
base,0,2,False
base,0,3,False
base,0,4,False
base,0,5,False
base,0,6,False
base,0,7,False
base,0,8,False
base,0,9,False
base,0,10,False
base,0,11,False
base,0,12,False
base,0,13,False
base,0,14,False
base,0,15,False
base,0,16,False
base,0,17,False
base,0,18,False
base,0,19,False
base,0,20,False
base,0,21,False
base,0,22,False
base,0,23,False
base,0,24,False
base,0,25,False
base,0,26,False
base,0,27,False
base,0,28,False
base,0,29,False
base,0,30,False
base,0,31,False
base,0,32,False
base,0,33,False
base,0,34,False
base,0,35,False
base,0,36,False
base,0,37,False
base,0,38,False
base,0,39,False
base,0,40,False
base,0,41,False
base,0,42,False
base,0,43,False
base,0,44,False
base,0,45,False
base,0,46,False
base,0,47,False
base,0,48,False
base,0,49,False
base,0,50,False
base,0,51,False
base,0,52,False
base,0,53,False
base,0,54,False
base,0,55,False
base,0,56,False
base,0,57,False
base,0,58,False
base,0,59,False
base,0,60,False
base,0,61,False
base,0,62,False
base,0,63,False
base,0,64,False
base,0,65,False
base,0,66,False
base,0,67,False
base,0,68,False
base,0,69,False
base,0,70,False
base,0,71,False
base,0,72,False
base,0,73,False
base,0,74,False
base,0,75,False
base,0,76,False
base,0,77,False
base,0,78,False
base,0,79,False
base,0,80,False
base,0,81,False
base,0,82,False
base,0,83,False
base,0,84,False
base,0,85,False
base,0,86,False
base,0,87,False
base,0,88,False
base,0,89,False
base,0,90,False
base,0,91,False
base,0,92,False
base,0,93,False
base,0,94,False
base,0,95,False
base,0,96,False
base,0,97,False
base,0,98,False
base,0,99,False
base,0,100,False
base,0,101,False
base,0,102,False
base,0,103,False
base,0,104,False
base,0,105,False
base,0,106,False
base,0,107,False
base,0,108,False
base,0,109,False
base,0,110,False
base,0,111,False
base,0,112,False
base,0,113,False
base,0,114,False
base,0,115,False
base,0,116,False
base,0,117,False
base,0,118,False
base,0,119,False
base,0,120,False
base,0,121,False
base,0,122,False
base,0,123,False
base,0,124,False
base,0,125,False
base,0,126,False
base,0,127,False
base,0,128,False
base,0,129,False
base,0,130,False
base,0,131,False
base,0,132,False
base,0,133,False
base,0,134,False
base,0,135,False
base,0,136,False
base,0,137,False
base,0,138,False
base,0,139,False
base,0,140,False
base,0,141,False
base,0,142,False
base,0,143,False
base,0,144,False
base,0,145,False
base,0,146,False
base,0,147,False
base,0,148,False
base,0,149,False
base,0,150,False
base,0,151,False
base,0,152,False
base,0,153,False
base,0,154,False
base,0,155,False
base,0,156,False
base,0,157,False
base,0,158,False
base,0,159,False
base,0,160,False
base,0,161,False
base,0,162,False
base,0,163,False
base,0,164,False
base,0,165,False
base,0,166,False
base,0,167,False
base,0,168,False
base,0,169,False
base,0,170,False
base,0,171,False
base,0,172,False
base,0,173,False
base,0,174,False
base,0,175,False
base,0,176,False
base,0,177,False
base,0,178,False
base,0,179,False
base,0,180,False
base,0,181,False
base,0,182,False
base,0,183,False
base,0,184,False
base,0,185,False
base,0,186,False
base,0,187,False
base,0,188,False
base,0,189,False
base,0,190,False
base,0,191,False
base,0,192,False
base,0,193,False
base,0,194,False
base,0,195,False
base,0,196,False
base,0,197,False
base,0,198,False
base,0,199,False
base,0,200,False
base,0,201,False
base,0,202,False
base,0,203,False
base,0,204,False
base,0,205,False
base,0,206,False
base,0,207,False
base,0,208,False
base,0,209,False
base,0,210,False
base,0,211,False
base,0,212,False
base,0,213,False
base,0,214,False
base,0,215,False
base,0,216,False
base,0,217,False
base,0,218,False
base,0,219,False
base,0,220,False
base,0,221,False
base,0,222,False
base,0,223,False
base,0,224,False
base,0,225,False
base,0,226,False
base,0,227,False
base,0,228,False
base,0,229,False
base,0,230,False
base,0,231,False
