"scenario","n_test","clusters","log_score_difference","ci_lower","ci_upper","referent_coverage90","pcntoolkit_coverage90","referent_mace","pcntoolkit_mace","referent_tail05","pcntoolkit_tail05","calibration_pass","classification","replicate","seed","fit_status","fit_converged","fit_message","comparator_warning_count","comparator_critical_warning_count","comparator_valid"
"linear_gaussian",500,500,-0.00329142076164759,-0.00672730464043595,-0.000193461877670482,0.874,0.882,0.0232,0.0176,0.072,0.068,TRUE,"equivalent",1,20260924,"ok",TRUE,"",0,0,TRUE
"nonlinear_heteroskedastic",500,500,-0.00264644413810696,-0.0111511884005396,0.00509534652066748,0.872,0.894,0.0232,0.018,0.078,0.068,FALSE,"inferior",1,20260924,"ok",TRUE,"",0,0,TRUE
"skew_heavy",500,500,0.388686013705324,0.303502610570673,0.485156945108312,0.876,0.914,0.0208,0.0456,0.076,0.068,FALSE,"tradeoff",1,20260924,"ok",TRUE,"",0,0,TRUE
"unequal_site",500,500,-0.00858475502693344,-0.0128699446965202,-0.00456818944945455,0.84,0.846,0.0284,0.0264,0.098,0.094,TRUE,"equivalent",1,20260924,"ok",TRUE,"",0,0,TRUE
"covariate_shift",500,500,0.000286530651649356,-0.000423922854644774,0.000954460643244123,0.878,0.878,0.0232,0.0236,0.072,0.072,TRUE,"equivalent",1,20260924,"ok",TRUE,"",0,0,TRUE
"linear_gaussian",500,500,0.00245714881586701,-0.000617565868813446,0.00508496798182617,0.918,0.93,0.0224,0.0228,0.034,0.032,TRUE,"equivalent",2,20260925,"ok",TRUE,"",0,0,TRUE
"nonlinear_heteroskedastic",500,500,0.00678344221711097,0.00265873982126696,0.0105552358096037,0.92,0.926,0.0228,0.0232,0.04,0.038,TRUE,"superior",2,20260925,"ok",TRUE,"",0,0,TRUE
"skew_heavy",500,500,0.407870854281889,0.316414626637238,0.506786080302202,0.924,0.924,0.0236,0.0572,0.038,0.056,TRUE,"superior",2,20260925,"ok",TRUE,"",0,0,TRUE
"unequal_site",500,500,0.00472068510559474,0.00167160888881364,0.00824940697257274,0.922,0.93,0.0164,0.0192,0.03,0.026,TRUE,"superior",2,20260925,"ok",TRUE,"",0,0,TRUE
"covariate_shift",500,500,0.000268986438016462,-0.000255535539743931,0.000850374194664974,0.922,0.924,0.0064,0.0056,0.034,0.034,TRUE,"equivalent",2,20260925,"ok",TRUE,"",0,0,TRUE
"linear_gaussian",500,500,-0.000774793355366547,-0.00384326920630052,0.00238881057093453,0.872,0.888,0.0312,0.0296,0.076,0.064,FALSE,"inferior",3,20260926,"ok",TRUE,"",0,0,TRUE
